,Username,Account
0,boyfifty_,Razer
1,Twitter,Razer
2,thecodemiko,Razer
3,OnDeck,Razer
4,Enviosity,Razer
5,just9n,Razer
6,Fossil,Razer
7,SmoshIan,Razer
8,Elamite,Razer
9,12am,Razer
10,TwinklyLED,Razer
11,ZLaner,Razer
12,KaleiRenay,Razer
13,Nervarieno,Razer
14,Bebahanofficial,Razer
15,VanessaGilles,Razer
16,GenshinImpact,Razer
17,steinekin,Razer
18,neon__tetra,Razer
19,TSMViss,Razer
20,RealSexyCyborg,Razer
21,vidgamepianist,Razer
22,The8BitDrummer,Razer
23,FamilyJules7x,Razer
24,NortonGaming,Razer
25,ControllerGear,Razer
26,greengoblin,Razer
27,oliviamunn,Razer
28,mayahiga,Razer
29,MSPTNR_Innovate,Razer
30,SimuLiu,Razer
31,NICKMERCS,Razer
32,playnewworld,Razer
33,JeremyStuD,Razer
34,Bosslogic,Razer
35,WhitWolfeHerd,Razer
36,NiceWigg,Razer
37,CLASHwith_SHANE,Razer
38,Panda__M4,Razer
39,patrickvicio,Razer
40,LanPyesports,Razer
41,HaloGear,Razer
42,RazerGoldNA,Razer
43,bumpaah,Razer
44,The_Happy_Hob,Razer
45,mariss,Razer
46,COHDl,Razer
47,SoaRZephy,Razer
48,xmarieangel,Razer
49,yoojpls,Razer
50,Blazt,Razer
51,xUnrational,Razer
52,sparkles_qt,Razer
53,jordy2d_,Razer
54,MarissaRoberto,Razer
55,Vansilli,Razer
56,imAVRL,Razer
57,UberShouts,Razer
58,JawsCasts,Razer
59,WorldsBedford,Razer
60,cammmyd,Razer
61,ProblemWright,Razer
62,Maven,Razer
63,gtez,Razer
64,LotsOfBunnies,Razer
65,LosPollosTV,Razer
66,DiazBiffle,Razer
67,iiTzTimmy,Razer
68,XboxGamePass,Razer
69,XboxGamePassPC,Razer
70,Walshy,Razer
71,HCS,Razer
72,FrostyBB,Razer
73,Str8SicK,Razer
74,Flamesword,Razer
75,AceTv,Razer
76,Lunchbox,Razer
77,boltyboy,Razer
78,halletecco,Razer
