,Unnamed: 0,Tweet_ID,Tweet_Text,Date,In_reply,Retweet_count,Favorite_count,Account,Is_RT,Year,Full_Date,Day,Month,Mention,Hashtag,Engagement_count,week_bin,month_week
0,0,1511144139252928512,@ValorantEsports so ready https://t.co/TJMWQsG4G4,5,ValorantEsports,0,6,HyperX,N,2022,Tue Apr 05,Tue,Apr,@ValorantEsports,none,6,1,"Apr, Week 1"
1,1,1511142993637433348,@GamingLopsided totallyyyy https://t.co/aopgGxSzUW,5,GamingLopsided,0,1,HyperX,N,2022,Tue Apr 05,Tue,Apr,@GamingLopsided,none,1,1,"Apr, Week 1"
2,2,1511138645629046784,@BlazeHedgehog the dust drawing 😂👌,5,BlazeHedgehog,0,0,HyperX,N,2022,Tue Apr 05,Tue,Apr,@BlazeHedgehog,none,0,1,"Apr, Week 1"
3,3,1511130974972637189,@XboxGamePassPC well seasoned 🥴,4,XboxGamePassPC,0,9,HyperX,N,2022,Mon Apr 04,Mon,Apr,@XboxGamePassPC,none,9,1,"Apr, Week 1"
4,4,1511124630970540043,@OhHeyItsDavid ❤️,4,OhHeyItsDavid,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@OhHeyItsDavid,none,0,1,"Apr, Week 1"
5,5,1511124494798442500,@Flame2745 Hey there! Please hit us up in a DM with your contact info and what country you are in.,4,Flame2745,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@Flame2745,none,0,1,"Apr, Week 1"
6,6,1511123571933949953,@wheresvenni Hey there! Please hit us up in a DM with your contact info and what country you are in.,4,wheresvenni,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@wheresvenni,none,0,1,"Apr, Week 1"
7,7,1511105745453871111,@Pokemon 💗👏 https://t.co/xR4u2PT0hr,4,Pokemon,1,27,HyperX,N,2022,Mon Apr 04,Mon,Apr,@Pokemon,none,28,1,"Apr, Week 1"
8,8,1511105035064676352,"@WheelsFGC better not hear ""i'm lagging"" then 😜",4,WheelsFGC,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@WheelsFGC,none,0,1,"Apr, Week 1"
9,9,1511104841673629697,@z2rMC the struggle 😭,4,z2rMC,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@z2rMC,none,1,1,"Apr, Week 1"
10,10,1511104730398818304,@Broke_pimp007 it's gonna take off 🛫😂,4,Broke_pimp007,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@Broke_pimp007,none,1,1,"Apr, Week 1"
11,11,1511104619748810753,@Promis_QS_Panda report back pls 🫣,4,Promis_QS_Panda,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@Promis_QS_Panda,none,0,1,"Apr, Week 1"
12,12,1511104377502646274,@flux_mz 🤫 we won't tell anyone,4,flux_mz,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@flux_mz,none,1,1,"Apr, Week 1"
13,13,1511104305012477952,"@redwimed the console can be dusty, or the desk 👀",4,redwimed,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@redwimed,none,1,1,"Apr, Week 1"
14,14,1511104200796561411,@kiiril 😭 gotta shake it off,4,kiiril,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@kiiril,none,1,1,"Apr, Week 1"
15,15,1511104057309470720,@georgephamm it's for the best friend 😂,4,georgephamm,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@georgephamm,none,1,1,"Apr, Week 1"
16,16,1511093783219384331,is the internet slow or is it your dusty pc u havent cleaned in months https://t.co/gjhyVpcD3q,4,none,8,167,HyperX,N,2022,Mon Apr 04,Mon,Apr,none,none,175,1,"Apr, Week 1"
17,17,1511053380545884174,@ViviSlimeBunny clicking the link wouldve been faster 🙈,4,ViviSlimeBunny,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@ViviSlimeBunny,none,0,1,"Apr, Week 1"
